file;dappUrl;localStorage;walletStoredAtEnd;nothingStored;revokePermission;eth_addressbeforeRequest;announceProvider;trackers;tracker_count;google_all;amplitude.com;analytics.google.com;api-js.mixpanel.com;api.jumper.exchange;api.tokenlon.im;auth.privy.io;blur.io;cdn.markfi.xyz;cdn.worldofdypians.com;clarity.ms;core-api.prod.blur.io;deepflow.pendle.finance;events.launchdarkly.com;google-analytics.com;google.com;googletagmanager.com;i2.seadn.io;i2c.seadn.io;intercom.io;klabs.network;mixpanel.com;mm-sdk-analytics.api.cx.metamask.io;opensea.io;proxy-app.1inch.io;raw2.seadn.io;rdr.blurio.workers.dev;region1.analytics.google.com;region1.google-analytics.com;s2.adform.net;sentry.io;spindl.link;tag.adrsbl.io;tangerine.exchange;track.adform.net;v.clarity.ms
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___jumper_exchange_.json;https://jumper.exchange/;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"api.jumper.exchange;google-analytics.com;googletagmanager.com;region1.google-analytics.com;s2.adform.net;tag.adrsbl.io;track.adform.net";7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___app_morpho_org_ethereum_earn.json;https://app.morpho.org/ethereum/earn;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;"sentry.io;spindl.link";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___www_tangerine_exchange_.json;https://www.tangerine.exchange/;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;tangerine.exchange;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___1inch_com_swap.json;https://1inch.com/swap;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;"analytics.google.com;googletagmanager.com;proxy-app.1inch.io;region1.analytics.google.com;sentry.io";5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___swap_transit_finance___dex_fromChain_ETH_toChain_ETH_toToken_0xdac17f958d2ee523a2206206994597c13d831ec7.json;https://swap.transit.finance/#/dex?fromChain=ETH&toChain=ETH&toToken=0xdac17f958d2ee523a2206206994597c13d831ec7;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"google-analytics.com;googletagmanager.com;region1.google-analytics.com";3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___opensea_io.json;https://opensea.io;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"amplitude.com;google-analytics.com;googletagmanager.com;i2.seadn.io;i2c.seadn.io;intercom.io;mm-sdk-analytics.api.cx.metamask.io;opensea.io;raw2.seadn.io;region1.google-analytics.com";10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___app_pendle_finance_trade_markets.json;https://app.pendle.finance/trade/markets;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"deepflow.pendle.finance;googletagmanager.com;sentry.io";3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___relay_link.json;https://relay.link;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"google-analytics.com;googletagmanager.com;intercom.io;region1.google-analytics.com;sentry.io";5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___app_rango_exchange_.json;https://app.rango.exchange/;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"google-analytics.com;googletagmanager.com;region1.google-analytics.com";3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___app_dln_trade_.json;https://app.dln.trade/;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___app_ethena_fi_.json;https://app.ethena.fi/;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___swap_cow_fi.json;https://swap.cow.fi;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;"clarity.ms;events.launchdarkly.com;google-analytics.com;google.com;googletagmanager.com;region1.google-analytics.com;sentry.io;spindl.link;v.clarity.ms";9;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1
hnfanknocfeofbddgcijnmhnfnkdnaad-https___tokenlon_im_instant.json;https://tokenlon.im/instant;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"api.tokenlon.im;google-analytics.com;googletagmanager.com;region1.google-analytics.com";4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___tyrbine_com.json;https://tyrbine.com;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___app_across_to_bridge_.json;https://app.across.to/bridge?;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___www_okx_com_web3.json;https://www.okx.com/web3;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nkbihfbeogaeaoehlefnkodbefgpgknn-https___swap_thorchain_org_.json;https://swap.thorchain.org/;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___blur_io_collections.json;https://blur.io/collections;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;"blur.io;core-api.prod.blur.io;rdr.blurio.workers.dev;sentry.io";4;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
bfnaelmomeimhlpmgjnjophhpkkoljpa-https___app_aave_com_.json;https://app.aave.com/;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;amplitude.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hnfanknocfeofbddgcijnmhnfnkdnaad-https___app_velora_xyz_.json;https://app.velora.xyz/;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;"analytics.google.com;api-js.mixpanel.com;auth.privy.io;cdn.markfi.xyz;googletagmanager.com;intercom.io;mixpanel.com;region1.analytics.google.com;sentry.io";9;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
