ID,Name,Downloads,Developer,Contact,Version,Updated,URL
ingkckkjpaglapdgkgkdpinjbcgplpim,ganasX,9,loredana.cirstea,kuip.ltd.open@gmail.com,0.0.7,"November 23, 2022",https://chrome.google.com/webstore/detail/ingkckkjpaglapdgkgkdpinjbcgplpim
hbneiaclpaaglopiogfdhgccebncnjmc,TanglePay IOTA Wallet,"4,000+",tanglepay.com,bdgarrettjin@gmail.com,1.5.0,"December 21, 2022",https://chrome.google.com/webstore/detail/hbneiaclpaaglopiogfdhgccebncnjmc
djlahdpfkflehaepgohnnodmaajabdlg,Clear EVM Wallet (CLW),12,blog.flashsoft.eu,andrei@flashsoft.eu,1.1.9,"December 21, 2022",https://chrome.google.com/webstore/detail/djlahdpfkflehaepgohnnodmaajabdlg
amkmjjmmflddogmhpjloimipbofnfjih,Wombat - Gaming Wallet for Ethereum & EOS,"40,000+",Spielworks GmbH,support@getwombat.io,10.5.2,"December 16, 2022",https://chrome.google.com/webstore/detail/amkmjjmmflddogmhpjloimipbofnfjih
pdbmaddchfbbbbkaehgkinciknkichna,GCwallet,1,www.galaxychaos.com,galaxychaos@galaxychaos.com,1.0.0,"January 10, 2022",https://chrome.google.com/webstore/detail/pdbmaddchfbbbbkaehgkinciknkichna
nknhiehlklippafakaeklbeglecifhad,Nabox Wallet,"10,000+",Nabox Labs,support@nabox.io,1.1.51,"December 29, 2022",https://chrome.google.com/webstore/detail/nknhiehlklippafakaeklbeglecifhad
opcgpfmipidbgpenhmajoajpbobppdil,Sui Wallet,"500,000+",Mysten Labs,wallet@mystenlabs.com,23.1.3.0,"January 3, 2023",https://chrome.google.com/webstore/detail/opcgpfmipidbgpenhmajoajpbobppdil
efbglgofoippbgcjepnhiblaibcnclgk,Martian Wallet - Aptos / Sui,"500,000+",martianwallet.xyz,dev@martiandao.xyz,1.3.3,"December 28, 2022",https://chrome.google.com/webstore/detail/efbglgofoippbgcjepnhiblaibcnclgk
aiifbnbfobpmeekipheeijimdpnlpgpp,Terra Station Wallet,"600,000+",Terra,engineering@terra.money,3.2.0,"January 3, 2023",https://chrome.google.com/webstore/detail/aiifbnbfobpmeekipheeijimdpnlpgpp
niifiippnpofklilmnnafmhjelgpoagk,Almanack,2,Almanack Wallet,warrenbitbyte@gmail.com,1.0.0,"October 3, 2021",https://chrome.google.com/webstore/detail/niifiippnpofklilmnnafmhjelgpoagk
nlgnepoeokdfodgjkjiblkadkjbdfmgd,Multi Wallet,370,walletmulti,walletmulti@gmail.com,3.0.1,"August 22, 2020",https://chrome.google.com/webstore/detail/nlgnepoeokdfodgjkjiblkadkjbdfmgd
dommpfbbddejhlmnoeilamlncnedcjfi,CeloExtensionWallet-legacy,22,www.dsrvlabs.com,jiyun.kim@dsrvlabs.com,0.0.3,"March 27, 2021",https://chrome.google.com/webstore/detail/dommpfbbddejhlmnoeilamlncnedcjfi
bfnaelmomeimhlpmgjnjophhpkkoljpa,Phantom,"2,000,000+",phantom.app,support@phantom.app,22.12.19,"December 21, 2022",https://chrome.google.com/webstore/detail/bfnaelmomeimhlpmgjnjophhpkkoljpa
oldojieloelkkfeacfinhcngmbkepnlm,Wallet with marketmaking,170,sshserveronandroi,noxon@swaponline.io,1.4.1,"October 1, 2021",https://chrome.google.com/webstore/detail/oldojieloelkkfeacfinhcngmbkepnlm
ejeemacpidnaejkhpbmfkadhgjhnolaa,ezDeFi,"2,000+",lz.finance,help@lz.finance,0.10.1.11,"March 6, 2022",https://chrome.google.com/webstore/detail/ejeemacpidnaejkhpbmfkadhgjhnolaa
ffnbelfdoeiohenkjibnmadjiehjhajb,Yoroi,"300,000+",yoroiwallet.com,rnd@emurgo.io,4.18.100,"December 27, 2022",https://chrome.google.com/webstore/detail/ffnbelfdoeiohenkjibnmadjiehjhajb
fhbohimaelbohpjbbldcngcnapndodjp,Binance Wallet,"1,000,000+",Binance Chain,sandylx2018@gmail.com,2.13.7,"September 1, 2022",https://chrome.google.com/webstore/detail/fhbohimaelbohpjbbldcngcnapndodjp
khhipdmcpafpgagjllphlmjicpmndace,"@crypto: Wallet, messaging, storage for web3",2,Volentix,berthony@volentixlabs.com,0.0.2,"December 5, 2022",https://chrome.google.com/webstore/detail/khhipdmcpafpgagjllphlmjicpmndace
lpfcbjknijpeeillifnkikgncikgfhdo,Nami,"200,000+",Berry,berrypool.cardano@gmail.com,3.4.3,"November 23, 2022",https://chrome.google.com/webstore/detail/lpfcbjknijpeeillifnkikgncikgfhdo
aodkkagnadcbobfpggfnjeongemjbjca,BOLT X,472,bolt.global,dev@bolt.global,0.1.8,"August 17, 2022",https://chrome.google.com/webstore/detail/aodkkagnadcbobfpggfnjeongemjbjca
jiidiaalihmmhddjgbnbgdfflelocpak,BitKeep: Crypto & NFT Wallet,"40,000+",BitKeep Global Inc,support@bitkeep.com,1.4.2,"December 7, 2022",https://chrome.google.com/webstore/detail/jiidiaalihmmhddjgbnbgdfflelocpak
ejnkmenlldahifdamgflbfdenbmgjmao,GBRICK,209,gbrick.gbx,gbrick.gbx@gmail.com,1.1.4.00,"February 15, 2020",https://chrome.google.com/webstore/detail/ejnkmenlldahifdamgflbfdenbmgjmao
nkbihfbeogaeaoehlefnkodbefgpgknn,MetaMask,"10,000,000+",metamask.io,security@metamask.io,10.23.2,"December 22, 2022",https://chrome.google.com/webstore/detail/nkbihfbeogaeaoehlefnkodbefgpgknn
ihdpgdlddojmmkaokmnfdcdlooialppg,SageWallet,4,sagecity.io,sagecitydevs@sagecity.io,1.0.0,"September 4, 2020",https://chrome.google.com/webstore/detail/ihdpgdlddojmmkaokmnfdcdlooialppg
nkfpegmmhcipdkgoiimdegfaicbdnndh,Permission: Browse & Earn Crypto,"10,000+",permission.io,support@permission.io,3.46.21,"August 27, 2021",https://chrome.google.com/webstore/detail/nkfpegmmhcipdkgoiimdegfaicbdnndh
fecfflganphcinpahcklgahckeohalog,Coin Wallet,586,coindefi.org,ext@coindefi.org,3.0.7,"February 4, 2022",https://chrome.google.com/webstore/detail/fecfflganphcinpahcklgahckeohalog
ibljocddagjghmlpgihahamcghfggcjc,Virgo Wallet,"1,000+",virgo.net,contact@virgocoin.io,0.7.8,"November 23, 2022",https://chrome.google.com/webstore/detail/ibljocddagjghmlpgihahamcghfggcjc
bccippoanbhflmokhkbkepmhmndijenh,D-Wallet,311,rga081295,clariscovignesh6@gmail.com,1.8.4,"December 12, 2022",https://chrome.google.com/webstore/detail/bccippoanbhflmokhkbkepmhmndijenh
kmhcihpebfmpgmihbkipmjlmmioameka,Eternl,"90,000+",eternl.io,extensions@tastenkunst.io,1.10.1,"January 2, 2023",https://chrome.google.com/webstore/detail/kmhcihpebfmpgmihbkipmjlmmioameka
nankopfjhdflikcokhgohiaoehnjfako,Bee Wallet,"1,000+",admin,admin@bee.com,1.0.2,"September 12, 2022",https://chrome.google.com/webstore/detail/nankopfjhdflikcokhgohiaoehnjfako
hmeobnfnfcmdkdcmlblgagmfpfboieaf,XDEFI Wallet,"100,000+",xdefi.io,dp@xdefi.io,22.1.5,"January 4, 2023",https://chrome.google.com/webstore/detail/hmeobnfnfcmdkdcmlblgagmfpfboieaf
egjidjbpglichdcondbcbdnbeeppgdph,Trust Wallet,"100,000+",Trust Wallet,support@trustwallet.com,0.0.208,"December 21, 2022",https://chrome.google.com/webstore/detail/egjidjbpglichdcondbcbdnbeeppgdph
dmkamcknogkgcdfhhbddcghachkejeap,Keplr,"700,000+",keplr.app,keplr@chainapsis.com,0.11.31,"January 3, 2023",https://chrome.google.com/webstore/detail/dmkamcknogkgcdfhhbddcghachkejeap
jedgfcnbkbgiheojcfkbphplgkhgppgf,Ethereum AllInOne: ETH Ticker / Wallet viewer,86,Zed&#39;s Dev,zed.romain@gmail.com,1.1,"December 6, 2017",https://chrome.google.com/webstore/detail/jedgfcnbkbgiheojcfkbphplgkhgppgf
mcohilncbfahbmgdjkbpemcciiolgcge,OKX Wallet,"60,000+",OKX,okexwallet@okx.com,2.28.0,"January 2, 2023",https://chrome.google.com/webstore/detail/mcohilncbfahbmgdjkbpemcciiolgcge
hgnaefdmaajndddofoenholkagedjjkg,Smilo Browser Extension,39,smilowallet.io,info@didux.io,6.4.0,"April 7, 2020",https://chrome.google.com/webstore/detail/hgnaefdmaajndddofoenholkagedjjkg
ebfidpplhabeedpnhjnobghokpiioolj,Fewcha Move Wallet,"40,000+",fewcha.app,community@fewcha.app,0.4.13,"December 28, 2022",https://chrome.google.com/webstore/detail/ebfidpplhabeedpnhjnobghokpiioolj
hnfanknocfeofbddgcijnmhnfnkdnaad,Coinbase Wallet extension,"1,000,000+",Coinbase,chrome-extensions@coinbase.com,3.0.4,"December 24, 2022",https://chrome.google.com/webstore/detail/hnfanknocfeofbddgcijnmhnfnkdnaad
bjpgjikkpigjhblalajifcdmokjnlegk,Lightstreams Wallet,7,lightstreams.io,support@lightstreams.io,0.0.6,"December 23, 2021",https://chrome.google.com/webstore/detail/bjpgjikkpigjhblalajifcdmokjnlegk
jnlgamecbpmbajjfhmmmlhejkemejdma,Braavos Wallet,"70,000+",braavos.app,support@braavos.app,3.2.1,"December 20, 2022",https://chrome.google.com/webstore/detail/jnlgamecbpmbajjfhmmmlhejkemejdma
pgiaagfkgcbnmiiolekcfmljdagdhlcm,Stargazer Wallet,"10,000+",constellationnetwork.io,developer@constellationnetwork.io,3.10.3,"December 3, 2022",https://chrome.google.com/webstore/detail/pgiaagfkgcbnmiiolekcfmljdagdhlcm
mcbigmjiafegjnnogedioegffbooigli,Ethos Sui Wallet,"70,000+",ethoswallet.xyz,support@ethoswallet.xyz,0.0.0.53,"December 30, 2022",https://chrome.google.com/webstore/detail/mcbigmjiafegjnnogedioegffbooigli
kpfopkelmapcoipemfendmdcghnegimn,Liquality Wallet,"10,000+",liquality.io,info@liquality.io,0.81.0,"December 6, 2022",https://chrome.google.com/webstore/detail/kpfopkelmapcoipemfendmdcghnegimn
flpiciilemghbmfalicajoolhkkenfel,ICONex,"40,000+",icon.foundation,iconex@icon.foundation,2.0.5,"August 22, 2022",https://chrome.google.com/webstore/detail/flpiciilemghbmfalicajoolhkkenfel
olkbchllhcflpbjfgagahpkjnjioiedg,Medium Wallet,137,medium.devstore,su.han@themedium.io,1.0.1,"August 4, 2021",https://chrome.google.com/webstore/detail/olkbchllhcflpbjfgagahpkjnjioiedg
eknlkogikcabnjbjnhmjllabckeapdii,WalliD Wallet,174,wallid.io,info@wallid.io,1.2.1,"September 28, 2022",https://chrome.google.com/webstore/detail/eknlkogikcabnjbjnhmjllabckeapdii
gbjepgaebckfidagpfeioimheabiohmg,ZEON Wallet,212,zeonc.com,info@zeonc.com,7.8.0,"April 6, 2021",https://chrome.google.com/webstore/detail/gbjepgaebckfidagpfeioimheabiohmg
kkilomkmpmkbdnfelcpgckmpcaemjcdh,CeloExtensionWallet,"8,000+",www.dsrvlabs.com,jiyun.kim@dsrvlabs.com,0.1.1,"June 2, 2021",https://chrome.google.com/webstore/detail/kkilomkmpmkbdnfelcpgckmpcaemjcdh
fgkldlaelopgncepgpncndebgdddikii,JulWallet,"1,000+",justliquidity.org,tobias@justliquidity.org,1.1.3,"November 4, 2021",https://chrome.google.com/webstore/detail/fgkldlaelopgncepgpncndebgdddikii
mhahfjfaecbglhbenicolhfpbiampomj,NekoMask,124,NekoMask,nic@theneko.io,0.12.3,"December 26, 2022",https://chrome.google.com/webstore/detail/mhahfjfaecbglhbenicolhfpbiampomj
nhnkbkgjikgcigadomkphalanndcapjk,CLV Wallet,"60,000+",clover.finance,yiqun@clover.finance,6.1.5,"December 27, 2022",https://chrome.google.com/webstore/detail/nhnkbkgjikgcigadomkphalanndcapjk
nlbmnnijcnlegkjjpcfjclmcfggfefdm,MEW CX - is now Enkrypt,"100,000+",MyEtherWallet Inc,dev@myetherwallet.com,5.9.2,"October 17, 2022",https://chrome.google.com/webstore/detail/nlbmnnijcnlegkjjpcfjclmcfggfefdm
gmcpomojcoaopogcbhpchfpdpfaabihc,BeFi Wallet,"20,000+",BeFi Wallet,support@befiwalletdao.com,1.4.4,"June 16, 2022",https://chrome.google.com/webstore/detail/gmcpomojcoaopogcbhpchfpdpfaabihc
hihnmphnpeaonipeappnilinmgffimmh,BTCU Wallet,12,Prof-IT,support@prof-it.bz,0.10.0,"November 22, 2021",https://chrome.google.com/webstore/detail/hihnmphnpeaonipeappnilinmgffimmh
afbcbjpbpfadlkmhmclhkeeodmamcflc,Math Wallet,"60,000+",mathwallet.org,hello@mathwallet.org,3.0.6,"October 9, 2022",https://chrome.google.com/webstore/detail/afbcbjpbpfadlkmhmclhkeeodmamcflc
cfiohoajmkbfokjfhnfkikegflenlang,Pitaka,154,pitaka.io,tech@tetrix.xyz,0.2.4,"July 12, 2022",https://chrome.google.com/webstore/detail/cfiohoajmkbfokjfhnfkikegflenlang
hifafgmccdpekplomjjkcfgodnhcellj,Crypto.com | Wallet Extension,"70,000+",Crypto.com,defilabs@crypto.com,2.14.0,"December 26, 2022",https://chrome.google.com/webstore/detail/hifafgmccdpekplomjjkcfgodnhcellj
jlndlpbebijghakonleejcjmlfajbklf,Timebit Defi,2,dev.timebitex,dev.timebitex@gmail.com,0.0.2,"October 28, 2022",https://chrome.google.com/webstore/detail/jlndlpbebijghakonleejcjmlfajbklf
cpjianbolonkcnnnkjlcdlcfgnhjdjed,Moonstake Wallet - DApp Connector Extension,56,wallet.moonstake.io,dev@moonstake.io,1.1.1,"January 11, 2022",https://chrome.google.com/webstore/detail/cpjianbolonkcnnnkjlcdlcfgnhjdjed
eajafomhmkipbjmfmhebemolkcicgfmd,Tally Ho,"60,000+",tallyho.cash,doggos@tally.cash,0.18.6,"December 15, 2022",https://chrome.google.com/webstore/detail/eajafomhmkipbjmfmhebemolkcicgfmd
akocdkpmigbhfjpjclikcccjagknieic,MetaBay,1,Wedge Productivity Platform,eilon.lotem@gmail.com,1.0.0,"December 17, 2021",https://chrome.google.com/webstore/detail/akocdkpmigbhfjpjclikcccjagknieic
cekclnkpicopjiagjphfoahcinhmgbjp,Dekey,141,www.atomrigs.io,devs@atomrigs.io,0.12.07,"June 15, 2022",https://chrome.google.com/webstore/detail/cekclnkpicopjiagjphfoahcinhmgbjp
lgmpcpglpngdoalbgeoldeajfclnhafa,SafePal Extension Wallet,"30,000+",safepal.com,developer@safepal.com,2.8.0,"December 16, 2022",https://chrome.google.com/webstore/detail/lgmpcpglpngdoalbgeoldeajfclnhafa
khpkpbbcccdmmclmpigdgddabeilkdpd,Suiet | Sui Wallet,"200,000+",suiet.app,contact@suiet.app,0.1.36,"December 30, 2022",https://chrome.google.com/webstore/detail/khpkpbbcccdmmclmpigdgddabeilkdpd
hlcmhgjjiaibmpgmiijooccapcbgmpmb,Around Wallet,57,aroundprotocol,aroundprotocol@gmail.com,1.0.0,"April 26, 2022",https://chrome.google.com/webstore/detail/hlcmhgjjiaibmpgmiijooccapcbgmpmb
eombnimcaeeajenjolddbkkmgoljedic,Ape Chef 🔪 Stats,863,Ape Chef 🔪,apechefnft@gmail.com,0.1.1,"June 22, 2022",https://chrome.google.com/webstore/detail/eombnimcaeeajenjolddbkkmgoljedic
agkfnefiabmfpanochlcakggnkdfmmjd,Earth Wallet,"7,000+",earthwallet.io,sukhveer@earthwallet.io,0.7.0,"June 21, 2022",https://chrome.google.com/webstore/detail/agkfnefiabmfpanochlcakggnkdfmmjd
pkkjjapmlcncipeecdmlhaipahfdphkd,GameStop Wallet,"70,000+",GameStop,wallet-infra@gamestop.com,1.0.5,"January 3, 2023",https://chrome.google.com/webstore/detail/pkkjjapmlcncipeecdmlhaipahfdphkd
dhabdofcfmbcogjdnlnjnodicfmaaiej,QPocket,642,QUARKONIUM PTE. LTD.,qzhu@quarkchain.org,1.7.0,"August 1, 2020",https://chrome.google.com/webstore/detail/dhabdofcfmbcogjdnlnjnodicfmaaiej
loinekcabhlmhjjbocijdoimmejangoa,Glass wallet | Sui wallet,"10,000+",glasswallet.app,glasswallet.app@gmail.com,0.4.1,"December 27, 2022",https://chrome.google.com/webstore/detail/loinekcabhlmhjjbocijdoimmejangoa
nejflidlpijnkcbjcoddpmoohlcmlgfe,Ape Chef 🔪 Autobidder,993,Ape Chef 🔪,apechefnft@gmail.com,0.2.6,"October 10, 2022",https://chrome.google.com/webstore/detail/nejflidlpijnkcbjcoddpmoohlcmlgfe
aplknenimmngdhgkhajknkgmbpoidmbd,DexWallet,31,dexwallet.com,dev.dexwallet@gmail.com,1.0.1,"October 5, 2022",https://chrome.google.com/webstore/detail/aplknenimmngdhgkhajknkgmbpoidmbd
